
02/19/2023 23:02, Заметка01, Пробежать сегодня 10 км, Бег
02/20/2023 00:37, Заметка02, Решить сегодня задачу на Leetcode, Developer
02/20/2023 00:42, Заметка03, Повторить English, English02/25/2023 19:08, Заметка03NEW, NNNNNNNN, NNN
02/25/2023 19:13, Заметка04, Постирать одежду, Стирка
02/25/2023 19:21, Заметка05, Подшить футболку, Ремонт
02/25/2023 19:45, Заметка04NEW, NNNNNNNNN, NNNNNNNN
02/25/2023 19:53, Заметка01New, LLLLLLL, LL
02/25/2023 20:00, Заметка05NEW, NNNNNNNN, NNNNN
02/25/2023 20:04, Заметка01NEW, KKKKKK, KKKKK
02/25/2023 20:07, Заметка05NEW, MMMMMMMMM, MMMMM
02/25/2023 20:10, Заметка06, YYYYYYY, YYYYY
02/25/2023 20:11, Заметка06NEW, NNNNNNNNNN, NNNNNNNN
02/25/2023 20:13, Заметка07, MMMMMM, MMMM
02/25/2023 20:14, Заметка07NEW, KKKKKKKK, KKKKKK
02/25/2023 20:17, Заметка04NEW, Постирать еще раз одежду, Стирка
